No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Price,JLCPCB Stock,LCSC Stock,Primary Category,Secondary Category,Datasheet,JLCPCB Price
1,34,100nF,"C1,C6,C8,C14,C15,C19,C20,C21,C32MCU,C42,C48,C50,C52,C56,C57,C59,C60,C63,C64,C66,C67,C68,C69,C70,C76,C80,C84,C85,C86,C98,C99,C102,C103,C104",C0402,100nF,CC0402KRX7R7BB104,YAGEO(国巨),C60474,LCSC,,15286151,,,,https://atta.szlcsc.com/upload/public/pdf/source/20211223/9278FD768280B81DDBEF48FA36411A03.pdf,0.0002
2,6,22pF,"C2,C7,C12,C17,C72,C77",C0603,22pF,CC0603JRNPO9BN220,YAGEO(国巨),C105620,LCSC,,4976957,,,,https://item.szlcsc.com/datasheet/CC0603JRNPO9BN220/106835.html,0.0004
3,6,4.7uF,"C3,C4,C46,C79,C100,C101",C0603,4.7uF,CL10A475KP8NNNC,SAMSUNG(三星),C1705,LCSC,,11686609,,,,https://item.szlcsc.com/datasheet/CL10A475KP8NNNC/2057.html,0.0009
4,3,1uF,"C9,C43,C47",C0603,1uF,CL10B105KB8NQNC,SAMSUNG(三星),C5199872,LCSC,,8838982,,,,https://item.szlcsc.com/datasheet/CL10B105KB8NQNC/5885909.html,0.0012
5,2,2.2uF,"C10,C49",C0603,2.2uF,CL10A225KO8NNNC,SAMSUNG(三星),C23630,LCSC,,5254791,,,,https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html,0.001
6,2,10nF,"C11,C16",C0603,10nF,FCC0603B103K500CT,FOJAN(富捷),C5137477,LCSC,,11089761,,,,https://item.szlcsc.com/datasheet/FCC0603B103K500CT/5746979.html,0.0004
7,2,10uF,"C13,C18",C0603,10uF,CL10A106MQ8NNNC,SAMSUNG(三星),C1691,LCSC,,15187537,,,,https://item.szlcsc.com/datasheet/CL10A106MQ8NNNC/2043.html,0.0009
8,1,1uF,C44,C0402,1uF,V105K0402X7R6R3NNT,VIIYONG(微容),C5240378,LCSC,,16551,,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,https://item.szlcsc.com/datasheet/V105K0402X7R6R3NNT/5944237.html,0.001
9,2,100nF,"C51,C53",C1206,100nF,CGA1206M3L104J101MT,HRE(芯声),C22440581,LCSC,,2967,,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,https://item.szlcsc.com/datasheet/CGA1206M3L104J101MT/24087515.html,0.0054
10,2,22uF,"C74,C78",C0603,22uF,CL10A226MQ8NRNC,SAMSUNG(三星),C59461,LCSC,,19445844,,,,https://item.szlcsc.com/datasheet/CL10A226MQ8NRNC/60514.html,0.0014
11,1,4.7uF,C81,CAP-SMD_L3.5-W2.8-FD,4.7uF,CA45-B-35V-4.7UF-K,CEC(振华新云),C2764875,LCSC,,1331,,Capacitors,Tantalum Capacitors,https://item.szlcsc.com/datasheet/CA45-B-35V-4.7UF-K/2899509.html,0.0277
12,2,330uF,"C82,C83",CAP-TH_BD8.0-P3.50-D0.6-FD,330uF,ERS1EM331F12OT,AISHI(艾华集团),C383041,LCSC,,78684,,,,https://atta.szlcsc.com/upload/public/pdf/source/20191015/C438940_4B8E60A742BB0AE40DDEF87A5C89089D.pdf,0.0062
13,1,100nF,C87,C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC,,46040183,,,,https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html,0.0004
14,7,1uF,"C88,C90,C92,C94,C95,C96,C97",C0603,1uF,CL10B105KA8NNNC,SAMSUNG(三星),C29936,LCSC,,6871820,,,,https://item.szlcsc.com/datasheet/CL10B105KA8NNNC/30690.html,0.001
15,2,220uF,"C91,C93",CAP-TH_BD8.0-P3.50-D0.6-FD,220uF,ERS1EM221F12OT,AISHI(艾华集团),C160162,LCSC,,171747,,,,https://atta.szlcsc.com/upload/public/pdf/source/20191015/C438940_4B8E60A742BB0AE40DDEF87A5C89089D.pdf,0.0058
16,5,B250AF-13,"D1,D2,D7,D8,D9",DO-214AC_L4.3-W2.7-LS5.3-RD,,B250AF-13,DIODES(美台),C17389395,LCSC,,0,,Diodes,Schottky Diodes,https://item.szlcsc.com/datasheet/B250AF-13/18518568.html,0.0321
17,2,BAV99,"D5,D6",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,BAV99,baocheng(宝乘),C51898307,LCSC,,23106,,Diodes,Switching Diodes,https://item.szlcsc.com/datasheet/BAV99/54583732.html,0.0016
